shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10083,33.846731,-118.215577,20003,0.397
10083,33.846732,-118.216086,20004,0.426
10083,33.846733,-118.216516,20005,0.451
10083,33.846733,-118.216545,20006,0.452
10083,33.846731,-118.216844,20007,0.470
10083,33.846724,-118.217840,20008,0.527
10083,33.846727,-118.217986,20009,0.535
10083,33.846748,-118.218604,20010,0.571
10083,33.846778,-118.220171,20011,0.661
10083,33.846782,-118.220358,20012,0.672
10083,33.846780,-118.220476,20013,0.679
10083,33.846782,-118.220593,20014,0.685
10083,33.846782,-118.220756,20015,0.695
10083,33.846778,-118.220976,20016,0.707
10083,33.846753,-118.222750,20017,0.809
10083,33.846744,-118.223062,20018,0.827
10083,33.846725,-118.223751,20019,0.867
